full_name,county,state,state_abr,population,unemp,health_ins,poverty,SNAP,no_comp,no_internet,home_broad,broad_num,broad_avail,broad_cost,population_bbn,price_bbn,wired_bbn,provide_bbn,all25_bbn,downave_bbn,access_bbn,slowfrac_bbn
"Autauga County, Alabama",Autauga,Alabama,AL,55869.0,2.7,7.1,15.4,12.7,13.0,20.9,78.9,0.0,0.0,,55059.0,35.0,5.433316987231878,11.958735174994096,8.131567954376214,83.95189996185908,90.76467062605568,0.16375161190722679
"Baldwin County, Alabama",Baldwin,Alabama,AL,223234.0,2.7,10.2,10.6,7.5,11.4,21.3,78.1,0.0,0.0,,180490.0,35.0,4.2075738268048095,10.167898498531773,6.34904426838052,63.76047897390437,92.42876613662804,0.6912903761981275
"Barbour County, Alabama",Barbour,Alabama,AL,24686.0,3.8,11.2,28.9,27.4,23.9,38.9,60.4,4.0,99.2,74.99,24729.0,35.0,6.77843827085608,12.959399894860287,7.70435521048162,47.47149743216467,79.68369121274617,0.13417445104937523
"Bibb County, Alabama",Bibb,Alabama,AL,22394.0,3.1,7.9,14.0,12.4,23.7,33.8,66.1,0.0,0.0,,23339.0,35.0,3.1650456317751408,9.31882257166117,4.0416898753159956,29.732684776554265,41.73807789536827,0.4998928831569476
"Blount County, Alabama",Blount,Alabama,AL,57826.0,2.7,11.0,14.4,9.5,21.3,30.6,68.5,0.0,0.0,,44950.0,35.0,4.984382647385985,13.231056729699667,7.862335928809789,20.749739710789765,79.69764182424917,1.0
"Bullock County, Alabama",Bullock,Alabama,AL,10101.0,3.6,10.8,31.4,25.9,27.1,40.1,58.9,1.0,40.1,57.99,11450.0,71.95,5.249694323144105,11.014759825327511,3.828209606986899,28.020640174672486,87.18812227074235,0.23493449781659387
"Butler County, Alabama",Butler,Alabama,AL,19448.0,3.6,10.2,23.5,18.6,29.9,37.0,62.1,0.0,0.0,,18373.0,65.0,5.532030697218746,10.532030697218744,6.532030697218745,33.478995809067655,81.81053720132805,0.0
"Calhoun County, Alabama",Calhoun,Alabama,AL,113605.0,3.5,9.4,18.6,17.9,15.3,26.6,73.0,2.0,86.5,74.99,114816.0,35.0,5.110341764214046,10.409350613154963,7.027278428093645,66.40877099010592,96.20633883779266,0.20531110646599776
"Chambers County, Alabama",Chambers,Alabama,AL,33254.0,2.9,10.8,16.6,14.7,24.2,33.0,66.5,1.0,93.0,299.95,34422.0,35.0,4.931264888733949,10.123670908140141,5.270350357329614,65.96271512404857,88.67177967578874,0.04505839288826913
"Cherokee County, Alabama",Cherokee,Alabama,AL,26196.0,2.9,8.3,15.0,15.9,19.9,31.0,68.6,2.0,25.6,187.47,25175.0,65.0,3.227090367428004,11.227090367428005,7.709592850049653,23.491204369414106,99.48250248262164,0.148480635551142
"Chilton County, Alabama",Chilton,Alabama,AL,44428.0,2.7,14.2,18.6,18.2,22.0,37.7,61.8,2.0,99.5,74.99,32192.0,35.0,4.9407306163021865,11.300726888667992,6.9407306163021865,36.7298418861829,82.46474279324056,0.26059269383697814
"Choctaw County, Alabama",Choctaw,Alabama,AL,12589.0,4.7,11.4,22.2,24.7,25.9,40.9,58.3,2.0,49.4,115.0,12454.0,66.95,1.851292757347037,6.8512927573470375,2.7783041593062467,13.251140195920993,25.82174401798619,0.6709490926609925
"Clarke County, Alabama",Clarke,Alabama,AL,23622.0,5.8,10.8,25.4,19.5,34.7,46.2,53.2,2.0,99.0,74.96,25939.0,55.0,5.472917228883149,10.239022321600679,5.86163691738309,20.727051544007093,74.10921778017656,0.6167546937044605
