GEO_ID,FIPS_State,FIPS_County,NAME,County,State,Stabr,Population_2019,Unemployment rate 2019,Percent w/o Health insurance,"MOE, % w/o health ins.",Poverty Rate (%),"MOE, Poverty Rate (%)",Percent received SNAP (2018),MOE SNAP,Percent with no home computer (2018),MOE No Computer,Percent with no home Internet (2018),MOE no Internet,Percent with home Broadband (2018),MOE Broadband,Number of Broadband providers (2019),"Population for whom broadband available, 2019 (%)","Lowest broadband cost per month, 2019 ($)"
0500000US01001,01,001,"Autauga County, Alabama",Autauga,Alabama,AL,55869,2.7     ,7.1     ,0.9     ,15.4     ,2.1     ,12.7,1.8,13.0,1.7,20.9,1.9,78.9,1.9,0,0,N/A
0500000US01003,01,003,"Baldwin County, Alabama",Baldwin,Alabama,AL,223234,2.7     ,10.2     ,0.8     ,10.6     ,0.9     ,7.5,0.7,11.4,0.8,21.3,1.3,78.1,1.3,0,0.0,N/A
0500000US01005,01,005,"Barbour County, Alabama",Barbour,Alabama,AL,24686,3.8     ,11.2     ,1.6     ,28.9     ,2.9     ,27.4,2.6,23.9,2.2,38.9,2.8,60.4,2.7,4,99.2,74.99
0500000US01007,01,007,"Bibb County, Alabama",Bibb,Alabama,AL,22394,3.1     ,7.9     ,1.9     ,14.0     ,3.8     ,12.4,3.2,23.7,3.6,33.8,3.9,66.1,3.9,0,0.0,N/A
0500000US01009,01,009,"Blount County, Alabama",Blount,Alabama,AL,57826,2.7     ,11.0     ,1.3     ,14.4     ,1.7     ,9.5,1.6,21.3,2.0,30.6,1.9,68.5,1.9,0,0.0,N/A
0500000US01011,01,011,"Bullock County, Alabama",Bullock,Alabama,AL,10101,3.6     ,10.8     ,3.4     ,31.4     ,6.1     ,25.9,5.5,27.1,5.3,40.1,5.7,58.9,5.6,1,40.1,57.99
0500000US01013,01,013,"Butler County, Alabama",Butler,Alabama,AL,19448,3.6     ,10.2     ,1.7     ,23.5     ,2.6     ,18.6,2.5,29.9,3.2,37.0,3.5,62.1,3.6,0,0.0,N/A
0500000US01015,01,015,"Calhoun County, Alabama",Calhoun,Alabama,AL,113605,3.5     ,9.4     ,0.7     ,18.6     ,1.2     ,17.9,1.1,15.3,1.0,26.6,1.4,73.0,1.4,2,86.5,74.99
0500000US01017,01,017,"Chambers County, Alabama",Chambers,Alabama,AL,33254,2.9     ,10.8     ,1.4     ,16.6     ,2.1     ,14.7,2.0,24.2,2.5,33.0,2.7,66.5,2.8,1,93.0,299.95
0500000US01019,01,019,"Cherokee County, Alabama",Cherokee,Alabama,AL,26196,2.9     ,8.3     ,1.7     ,15.0     ,2.3     ,15.9,3.0,19.9,2.2,31.0,2.4,68.6,2.3,2,25.6,187.47
0500000US01021,01,021,"Chilton County, Alabama",Chilton,Alabama,AL,44428,2.7     ,14.2     ,1.6     ,18.6     ,2.4     ,18.2,2.6,22.0,2.7,37.7,2.5,61.8,2.5,2,99.5,74.99
0500000US01023,01,023,"Choctaw County, Alabama",Choctaw,Alabama,AL,12589,4.7     ,11.4     ,2.2     ,22.2     ,3.4     ,24.7,3.3,25.9,3.6,40.9,4.0,58.3,4.1,2,49.4,115.00
0500000US01025,01,025,"Clarke County, Alabama",Clarke,Alabama,AL,23622,5.8     ,10.8     ,1.6     ,25.4     ,3.2     ,19.5,2.5,34.7,3.4,46.2,3.2,53.2,3.3,2,99.0,74.96
0500000US01027,01,027,"Clay County, Alabama",Clay,Alabama,AL,13235,3.0     ,10.2     ,2.1     ,18.4     ,3.1     ,15.7,3.5,21.1,3.6,31.5,3.5,68.2,3.5,1,86.6,115.00
0500000US01029,01,029,"Cleburne County, Alabama",Cleburne,Alabama,AL,14910,3.2     ,12.8     ,1.8     ,18.5     ,3.3     ,15.3,3.2,20.1,2.7,38.6,3.7,60.4,3.6,N/A,N/A,N/A
0500000US01031,01,031,"Coffee County, Alabama",Coffee,Alabama,AL,52342,2.9     ,10.1     ,1.1     ,15.1     ,1.4     ,12.8,1.4,14.5,1.2,21.6,1.6,77.6,1.6,0,0.0,N/A
0500000US01033,01,033,"Colbert County, Alabama",Colbert,Alabama,AL,55241,3.7     ,8.1     ,1.0     ,16.3     ,1.6     ,11.9,1.4,18.6,1.7,31.1,2.2,68.2,2.2,3,92.6,74.99
